year,stat,player,team,value,link
1956,Strikeouts,Herb Score,Cleveland,263,https://www.baseball-almanac.com/pitching/pistrik4.shtml
1956,Winning Percentage,Whitey Ford,New York,.760,https://www.baseball-almanac.com/pitching/piwper4.shtml
1956,Wins,Frank Lary,Detroit,21,https://www.baseball-almanac.com/pitching/piwins4.shtml
1956,Statistic,Name(s),Team(s),#,
1956,Team [Click for roster],Wins,Losses,WP,
1956,New York Yankees,97,57,.630,https://www.baseball-almanac.com/teamstats/roster.php?y=1956&t=NYA
1956,Cleveland Indians,88,66,.571,https://www.baseball-almanac.com/teamstats/roster.php?y=1956&t=CLE
1956,Chicago White Sox,85,69,.552,https://www.baseball-almanac.com/teamstats/roster.php?y=1956&t=CHA
1956,Boston Red Sox,84,70,.545,https://www.baseball-almanac.com/teamstats/roster.php?y=1956&t=BOS
1956,Detroit Tigers,82,72,.532,https://www.baseball-almanac.com/teamstats/roster.php?y=1956&t=DET
1956,Baltimore Orioles,69,85,.448,https://www.baseball-almanac.com/teamstats/roster.php?y=1956&t=BAL
1956,Washington Senators,59,95,.383,https://www.baseball-almanac.com/teamstats/roster.php?y=1956&t=WS1
1956,Kansas City Athletics,52,102,.338,https://www.baseball-almanac.com/teamstats/roster.php?y=1956&t=KC1
1957,Statistic,Name(s),Team(s),#,
1957,Base on Balls,Mickey Mantle,New York,146,https://www.baseball-almanac.com/hitting/hiwalk4.shtml
1957,Batting Average,Ted Williams,Boston,.388,https://www.baseball-almanac.com/hitting/hibavg3.shtml
1957,Doubles,Billy Gardner,Baltimore,36,https://www.baseball-almanac.com/hitting/hi2b3.shtml
1957,Hits,Nellie Fox,Chicago,196,https://www.baseball-almanac.com/hitting/hihits4.shtml
1957,Home Runs,Roy Sievers,Washington,42,https://www.baseball-almanac.com/hitting/hihr5.shtml
1957,On Base Percentage,Ted Williams,Boston,.528,https://www.baseball-almanac.com/hitting/hiobp4.shtml
1957,RBI,Roy Sievers,Washington,114,https://www.baseball-almanac.com/hitting/hirbi5.shtml
1957,Runs,Mickey Mantle,New York,121,https://www.baseball-almanac.com/hitting/hiruns2.shtml
1957,Slugging Average,Ted Williams,Boston,.731,https://www.baseball-almanac.com/hitting/hislug4.shtml
1957,Stolen Bases,Luis Aparicio,Chicago,28,https://www.baseball-almanac.com/hitting/hisb4.shtml
1957,Total Bases,Roy Sievers,Washington,331,https://www.baseball-almanac.com/hitting/hitotb4.shtml
1957,Triples,Hank Bauer,New York,9,https://www.baseball-almanac.com/hitting/hitrip4.shtml
1957,Statistic,Name(s),Team(s),#,
1957,Statistic,Name(s),Team(s),#,
1957,Complete Games,Dick Donovan,Chicago,16,https://www.baseball-almanac.com/pitching/picomg4.shtml
